hari,id_dosen,id_jadwal,id_kelas,id_matkul,id_waktu,jam_akhir,jam_mulai,prodi,ruangan,semester,sks
"1","45","657","1","81","2","1240","1120","2","10","3","3"
"3","46","604","1","8","2","1200","1080","1","1","1","3"
"3","33","591","1","1","2","1280","1200","1","1","1","2"
"4","61","602","1","7","1","600","480","1","1","1","3"
"2","49","786","1","186","2","1200","1080","4","16","1","3"
"2","49","787","1","187","2","1240","1200","4","16","1","1"
"1","1","782","1","183","1","560","480","4","16","1","2"
"1","27","791","1","189","1","680","560","4","16","1","3"
"2","33","614","1","21","2","1200","1080","1","4","3","3"
"2","24","615","1","22","2","1320","1200","1","4","3","3"
"2","35","818","1","217","2","1160","1080","4","22","5","2"
"2","53","821","1","218","2","1280","1160","4","22","5","3"
"1","28","774","2","168","2","1160","1080","3","13","7","2"
"1","19","777","2","170","2","1280","1160","3","13","7","3"
"4","20","659","1","83","2","1160","1080","2","10","3","2"
"4","8","665","1","89","2","1240","1160","2","10","3","2"
"4","4","661","1","85","2","1320","1240","2","10","3","2"
"4","41","877","1","263","1","600","480","5","18","3","3"
"4","55","869","1","259","1","720","600","5","18","3","3"
"5","17","861","1","246","1","600","480","5","23","1","3"
"2","22","743","1","153","2","1160","1080","3","11","5","2"
"2","23","738","1","148","2","1240","1160","3","11","5","2"
"2","23","739","1","149","2","1280","1240","3","11","5","1"
"1","28","708","1","168","1","560","480","3","12","7","2"
"1","10","709","1","169","1","640","560","3","12","7","2"
"1","9","712","1","172","1","720","640","3","12","7","2"
"4","20","651","1","66","1","560","480","2","7","1","2"
"4","27","648","1","63","1","640","560","2","7","1","2"
"2","28","692","1","137","1","600","480","3","8","3","3"
"2","37","683","1","129","1","720","600","3","8","3","3"
"2","41","875","1","262","1","600","480","5","18","3","3"
"2","28","872","1","260","1","720","600","5","18","3","3"
"3","57","675","1","113","1","560","480","3","9","1","2"
"3","8","676","1","114","1","640","560","3","9","1","2"
"3","15","673","1","111","1","720","640","3","9","1","2"
"1","30","595","1","4","2","1200","1080","1","1","1","3"
"1","59","598","1","5","2","1280","1200","1","1","1","2"
"3","37","684","1","130","1","520","480","3","8","3","1"
"3","21","688","1","134","1","600","520","3","8","3","2"
"3","38","685","1","131","1","720","600","3","8","3","3"
"4","54","592","1","2","2","1160","1080","1","1","1","2"
"4","13","600","1","6","2","1240","1160","1","1","1","2"
"4","13","623","1","35","2","1200","1080","1","3","5","3"
"4","26","627","1","39","2","1320","1200","1","3","5","3"
"3","35","606","2","17","2","1160","1080","1","2","3","2"
"3","25","620","2","24","2","1240","1160","1","2","3","2"
"3","13","612","2","20","2","1320","1240","1","2","3","2"
